- K 44.309906 -71.741671 116 MP '{"name": "C116/B39"}' *
- K 44.312636 -71.721279 117 MP '{"name": "C117/B38"}' *
- K 44.322243 -71.706624 118 MP '{"name": "C118/B37"}' *
- K 44.326748 -71.690376 119 MP '{"name": "C119/B36"}' *
- K 44.318824 -71.673162 120 MP '{"name": "C120/B25"}' *
- K 44.3187673 -71.6722261 120.21 X '{"name": "Wing Road (053687S)"}' *
- K 44.3237008 -71.6593192 121.20 X '{"name": "NH-116 / Alder Brook Rd (053688Y)"}' *
- K 44.320946 -71.659358 121 MP '{"name": "C121/B24"}' *
- K 44.332533 -71.655814 122 MP '{"name": "C122/B23"}' *
- K 44.435978 -71.644840 123 MP '{"name": "C123/B22"}' *
- K 44.3591407 -71.6343355 124 MP '{"name": "C124/B21"}' *
- K 44.3591407 -71.6343355 124.00 X '{"name": "Parker Rd (053691G)"}' *
- K 44.317921 -71.669583 120.27 O '{"name": "brook"}' *
- K 44.317759 -71.666218 120.48 O '{"name": "brook"}' *
