#v9
- K 43.932068 -71.682709 111.15 X '{"street": "Conway Rd (054255W)"}' *
- K 43.927544 -71.683342 111.28 U '{"street": "NH-28 (054256D)"}' *
- K 43.755061 -71.153144 115.90 X '{"street": "Moultonville Rd (054260T)"}' *
#- K 43.747124 -71.149875 115.571 O '{"name": "Dan Hole Rver"}' *
- K 43.747123 -71.149875 115.57 O '{"name": "Annie Nichols Rd (054259Y)"}' *
- K 43.742209 -71.149210 - X '{"street": "Rail Rd"}' *
- K 43.732305 -71.144728 114.52 O '{"name": "Beech River", "val": "V04-1_48"}' *
- K 43.757181 -71.154024 116 MP '{"name": "B116/I24", "section": "177/178", "val": "V04-1_50", "survey": "2585+24"}' *
- K 43.742984 -71.149101 115 MP '{"name": "B115/I25", "survey": "2532+58"}' *
- K 43.729775 -71.142232 114 MP '{"name": "B114/I26"}' *
- K 43.717068 -71.133177 113 MP '{"name": "B113/I27"}' *
- K 43.703421 -71.128235 112 MP '{"name": "B112/I28"}' *
- K 43.781689 -71.172613 118 MP '{"name": "B118/I22", "survey": "2691+55"}' *
- K 43.761900 -71.156593 116.40 YL '{"offset": 1, "label": "15"}' *
- K 43.754640 -71.152972 115.82 S '{"name": "Mountainview", "offset": -1, "survey": "2576+01.8"}' *
- K 43.748030 -71.150797 115.40 YL '{"offset": -1, "label": "20"}' *
- K 43.776431 -71.167784 117.86 O '{"name": "Lovell River", "val": "V04-1_51"}' *
- K 43.769572 -71.162910 117 MP '{"name": "B117/I23"}' *
- K 43.707462 -71.130275 112.62 X '{"street": "Pollys Crossing (054257K)", "val": "V04-1_46"}' *
- K 43.925964 -71.159040 129 MP '{"name": "B129/I11"}' *
- K 43.912406 -71.165632 128 MP '{"name": "B128/I12"}' *
- K 43.898038 -71.166055 127 MP '{"name": "B127/I13"}' *
- K 43.872094 -71.180787 125 MP '{"name": "B125/I15"}' *
- K 43.887611 -71.174186 126.19 X '{"street": "Village Rd / NH-113 (400706C)"}' *
- K 43.898028 -71.166111 127.1 X '{"street": "Private"}' *
- K 43.929910 -71.158715 129.28 X '{"street": "Boulder Rd (400707J)"}' *
- K 43.888232 -71.173614 126.24 S '{"name": "Silver Lake", "offset": -1}' *
- K 43.889255 -71.172670 126.33 S '{"name": "Freight House", "offset": -1}' *
- K 43.888908 -71.172997 126.30 CRF '{"start": 0, "end": -1, "name": "South"}' *
- K - - 126.30 ST '{"offset": -1, "end": 126.44}' *
- K 43.890546 -71.171511 126.44 CLT '{"start": 0, "end": -1, "name": "North"}' *
- K 43.889788 -71.172189 126.38 O '{"name": "Mack Brook"}' *
- K 43.916713 -71.163749 - O '{"name": "Pequawket Brook"}' *
- K 43.918981 -71.162622 - O '{"name": "Pequawket Brook"}' *
- K 43.926546 -71.159001 - O '{"name": "brook"}' *
- K 43.929784 -71.158765 - O '{"name": "Pequawket Brook"}' *
#- K - - 126.20 E *
#- K - - 999 E *
